expt	samplepos	time	temp	x465_580
prp-titration	A1	19333	24.96	0.71
prp-titration	A1	20600	25.16	0.72
prp-titration	A1	21850	25.48	0.72
prp-titration	A1	23117	25.75	0.72
prp-titration	A1	24367	26	0.71
prp-titration	A1	25633	26.26	0.71
prp-titration	A1	26883	26.52	0.71
prp-titration	A1	28150	26.76	0.71
prp-titration	A1	29400	26.97	0.71
prp-titration	A1	30667	27.21	0.7
prp-titration	A1	31917	27.45	0.7
prp-titration	A1	33167	27.7	0.71
prp-titration	A1	34433	28	0.71
prp-titration	A1	35683	28.25	0.7
prp-titration	A1	36950	28.54	0.7
prp-titration	A1	38200	28.73	0.7
prp-titration	A1	39450	29.02	0.7
prp-titration	A1	40700	29.25	0.69
prp-titration	A1	41967	29.55	0.7
prp-titration	A1	43217	29.77	0.69
prp-titration	A1	44500	30	0.69
prp-titration	A1	45750	30.29	0.69
prp-titration	A1	47017	30.51	0.69
prp-titration	A1	48283	30.8	0.69
prp-titration	A1	49550	31.07	0.68
prp-titration	A1	50817	31.35	0.68
prp-titration	A1	52083	31.57	0.69
prp-titration	A1	53333	31.79	0.68
prp-titration	A1	54600	32.06	0.68
prp-titration	A1	55850	32.37	0.66
prp-titration	A1	57100	32.59	0.67
prp-titration	A1	58367	32.75	0.68
prp-titration	A1	59617	33.12	0.67
prp-titration	A1	60883	33.33	0.67
prp-titration	A1	62150	33.58	0.67
prp-titration	A1	63400	33.84	0.66
prp-titration	A1	64683	34.1	0.67
prp-titration	A1	65950	34.36	0.66
prp-titration	A1	67217	34.59	0.65
prp-titration	A1	68467	34.9	0.66
prp-titration	A1	69733	35.1	0.65
prp-titration	A1	70983	35.41	0.64
prp-titration	A1	72250	35.61	0.65
prp-titration	A1	73517	35.83	0.65
prp-titration	A1	74783	36.08	0.64
prp-titration	A1	76033	36.42	0.64
prp-titration	A1	77300	36.66	0.64
prp-titration	A1	78567	36.9	0.63
prp-titration	A1	79817	37.13	0.63
prp-titration	A1	81083	37.37	0.62
prp-titration	A1	82350	37.65	0.62
prp-titration	A1	83617	37.93	0.61
prp-titration	A1	84883	38.16	0.62
prp-titration	A1	86150	38.38	0.61
prp-titration	A1	87417	38.66	0.61
prp-titration	A1	88667	38.89	0.59
prp-titration	A1	89933	39.2	0.6
prp-titration	A1	91200	39.42	0.59
prp-titration	A1	92467	39.68	0.58
prp-titration	A1	93733	39.96	0.58
prp-titration	A1	95000	40.17	0.57
prp-titration	A1	96250	40.44	0.58
prp-titration	A1	97517	40.69	0.56
prp-titration	A1	98783	40.95	0.56
prp-titration	A1	100050	41.21	0.55
prp-titration	A1	101317	41.47	0.56
prp-titration	A1	102567	41.72	0.55
prp-titration	A1	103833	41.97	0.54
prp-titration	A1	105117	42.22	0.54
prp-titration	A1	106383	42.52	0.54
prp-titration	A1	107633	42.72	0.53
prp-titration	A1	108883	42.97	0.52
prp-titration	A1	110150	43.26	0.5
prp-titration	A1	111400	43.51	0.5
prp-titration	A1	112667	43.75	0.49
prp-titration	A1	113933	43.99	0.48
prp-titration	A1	115183	44.24	0.48
prp-titration	A1	116467	44.51	0.48
prp-titration	A1	117717	44.79	0.48
prp-titration	A1	118983	45.03	0.48
prp-titration	A1	120250	45.3	0.48
prp-titration	A1	121517	45.54	0.48
prp-titration	A1	122767	45.8	0.48
prp-titration	A1	124033	46.04	0.48
prp-titration	A1	125300	46.31	0.48
prp-titration	A1	126567	46.54	0.47
prp-titration	A1	127817	46.8	0.48
prp-titration	A1	129100	47.04	0.47
prp-titration	A1	130367	47.34	0.47
prp-titration	A1	131617	47.57	0.47
prp-titration	A1	132883	47.8	0.48
prp-titration	A1	134150	48.09	0.48
prp-titration	A1	135417	48.38	0.47
prp-titration	A1	136683	48.61	0.48
prp-titration	A1	137933	48.83	0.47
prp-titration	A1	139200	49.08	0.48
prp-titration	A1	140483	49.37	0.48
