expt	samplepos	time	temp	x465_580
prp-titration	A1	141733	49.62	0.48
prp-titration	A1	143000	49.84	0.49
prp-titration	A1	144250	50.1	0.48
prp-titration	A1	145517	50.39	0.48
prp-titration	A1	146783	50.63	0.48
prp-titration	A1	148050	50.89	0.49
prp-titration	A1	149317	51.14	0.48
prp-titration	A1	150583	51.38	0.48
prp-titration	A1	151850	51.67	0.48
prp-titration	A1	153117	51.91	0.49
prp-titration	A1	154367	52.14	0.49
prp-titration	A1	155650	52.43	0.5
prp-titration	A1	156917	52.67	0.49
prp-titration	A1	158183	52.91	0.5
prp-titration	A1	159433	53.18	0.5
prp-titration	A1	160700	53.42	0.49
prp-titration	A1	161967	53.69	0.5
prp-titration	A1	163217	53.94	0.5
prp-titration	A1	164483	54.16	0.5
prp-titration	A1	165750	54.43	0.51
prp-titration	A1	167000	54.71	0.51
prp-titration	A1	168267	54.98	0.51
prp-titration	A1	169534	55.22	0.51
prp-titration	A1	170783	55.44	0.51
prp-titration	A1	172050	55.74	0.51
prp-titration	A1	173300	55.97	0.52
prp-titration	A1	174583	56.2	0.52
prp-titration	A1	175833	56.47	0.52
prp-titration	A1	177100	56.76	0.52
prp-titration	A1	178350	57.02	0.53
prp-titration	A1	179600	57.21	0.53
prp-titration	A1	180867	57.51	0.54
prp-titration	A1	182117	57.77	0.54
prp-titration	A1	183383	57.98	0.54
prp-titration	A1	184650	58.24	0.55
prp-titration	A1	185917	58.53	0.55
prp-titration	A1	187167	58.79	0.55
prp-titration	A1	188433	59.04	0.56
prp-titration	A1	189700	59.26	0.56
prp-titration	A1	190967	59.55	0.57
prp-titration	A1	192233	59.8	0.57
prp-titration	A1	193483	60.03	0.58
prp-titration	A1	194750	60.29	0.58
prp-titration	A1	196017	60.55	0.6
prp-titration	A1	197283	60.84	0.6
prp-titration	A1	198534	61.07	0.61
prp-titration	A1	199817	61.29	0.61
prp-titration	A1	201083	61.55	0.61
prp-titration	A1	202333	61.86	0.62
prp-titration	A1	203600	62.09	0.63
prp-titration	A1	204867	62.31	0.63
prp-titration	A1	206133	62.62	0.64
prp-titration	A1	207383	62.85	0.65
prp-titration	A1	208650	63.1	0.66
prp-titration	A1	209917	63.37	0.66
prp-titration	A1	211183	63.62	0.67
prp-titration	A1	212450	63.87	0.68
prp-titration	A1	213717	64.1	0.69
prp-titration	A1	214983	64.37	0.69
prp-titration	A1	216233	64.65	0.7
prp-titration	A1	217500	64.87	0.7
prp-titration	A1	218767	65.14	0.71
prp-titration	A1	220033	65.4	0.72
prp-titration	A1	221300	65.64	0.74
prp-titration	A1	222550	65.88	0.74
prp-titration	A1	223817	66.16	0.75
prp-titration	A1	225083	66.39	0.76
prp-titration	A1	226350	66.69	0.78
prp-titration	A1	227617	66.93	0.78
prp-titration	A1	228867	67.17	0.79
prp-titration	A1	230133	67.44	0.81
prp-titration	A1	231417	67.7	0.81
prp-titration	A1	232683	67.94	0.82
prp-titration	A1	233933	68.21	0.82
prp-titration	A1	235200	68.44	0.84
prp-titration	A1	236467	68.71	0.85
prp-titration	A1	237733	68.94	0.85
prp-titration	A1	238983	69.21	0.87
prp-titration	A1	240250	69.48	0.87
prp-titration	A1	241517	69.72	0.89
prp-titration	A1	242783	69.98	0.89
prp-titration	A1	244050	70.27	0.9
prp-titration	A1	245317	70.51	0.91
prp-titration	A1	246567	70.75	0.9
prp-titration	A1	247833	71.01	0.92
prp-titration	A1	249100	71.25	0.92
prp-titration	A1	250383	71.5	0.92
prp-titration	A1	251633	71.77	0.93
prp-titration	A1	252883	72.03	0.93
prp-titration	A1	254150	72.27	0.93
prp-titration	A1	255417	72.53	0.93
prp-titration	A1	256683	72.79	0.94
prp-titration	A1	257950	73.06	0.94
prp-titration	A1	259217	73.29	0.94
prp-titration	A1	260483	73.56	0.94
prp-titration	A1	261733	73.81	0.95
prp-titration	A1	263000	74.05	0.94
prp-titration	A1	264250	74.29	0.94
prp-titration	A1	265517	74.58	0.95
prp-titration	A1	266767	74.81	0.94
prp-titration	A1	268033	75.07	0.95
prp-titration	A1	269300	75.3	0.95
prp-titration	A1	270583	75.6	0.94
prp-titration	A1	271833	75.85	0.94
prp-titration	A1	273100	76.05	0.94
prp-titration	A1	274350	76.36	0.93
prp-titration	A1	275617	76.64	0.92
prp-titration	A1	276883	76.84	0.92
prp-titration	A1	278133	77.11	0.93
prp-titration	A1	279383	77.34	0.92
prp-titration	A1	280650	77.63	0.93
prp-titration	A1	281900	77.84	0.91
prp-titration	A1	283150	78.13	0.91
prp-titration	A1	284417	78.39	0.9
prp-titration	A1	285683	78.62	0.91
prp-titration	A1	286933	78.89	0.9
prp-titration	A1	288200	79.13	0.89
prp-titration	A1	289467	79.39	0.9
prp-titration	A1	290717	79.65	0.89
prp-titration	A1	291983	79.88	0.88
prp-titration	A1	293250	80.15	0.88
prp-titration	A1	294517	80.42	0.87
prp-titration	A1	295767	80.63	0.87
prp-titration	A1	297050	80.93	0.86
prp-titration	A1	298317	81.19	0.86
prp-titration	A1	299583	81.42	0.85
prp-titration	A1	300850	81.69	0.85
prp-titration	A1	302117	81.96	0.85
prp-titration	A1	303383	82.2	0.84
prp-titration	A1	304650	82.43	0.84
prp-titration	A1	305900	82.7	0.84
prp-titration	A1	307167	82.96	0.83
prp-titration	A1	308433	83.23	0.82
prp-titration	A1	309700	83.44	0.82
prp-titration	A1	310967	83.73	0.82
prp-titration	A1	312233	84.01	0.81
prp-titration	A1	313500	84.21	0.81
prp-titration	A1	314750	84.48	0.8
prp-titration	A1	316017	84.78	0.8
prp-titration	A2	19333	24.96	0.92
prp-titration	A2	20600	25.16	0.92
prp-titration	A2	21850	25.48	0.92
prp-titration	A2	23117	25.75	0.92
prp-titration	A2	24367	26	0.91
prp-titration	A2	25633	26.26	0.91
prp-titration	A2	26883	26.52	0.91
prp-titration	A2	28150	26.76	0.91
prp-titration	A2	29400	26.97	0.92
prp-titration	A2	30667	27.21	0.9
prp-titration	A2	31917	27.45	0.91
prp-titration	A2	33167	27.7	0.9
prp-titration	A2	34433	28	0.9
prp-titration	A2	35683	28.25	0.9
prp-titration	A2	36950	28.54	0.91
prp-titration	A2	38200	28.73	0.9
prp-titration	A2	39450	29.02	0.89
prp-titration	A2	40700	29.25	0.89
prp-titration	A2	41967	29.55	0.89
prp-titration	A2	43217	29.77	0.88
prp-titration	A2	44500	30	0.88
prp-titration	A2	45750	30.29	0.89
prp-titration	A2	47017	30.51	0.88
prp-titration	A2	48283	30.8	0.89
prp-titration	A2	49550	31.07	0.87
prp-titration	A2	50817	31.35	0.88
prp-titration	A2	52083	31.57	0.87
prp-titration	A2	53333	31.79	0.87
prp-titration	A2	54600	32.06	0.87
prp-titration	A2	55850	32.37	0.87
prp-titration	A2	57100	32.59	0.87
prp-titration	A2	58367	32.75	0.87
prp-titration	A2	59617	33.12	0.86
prp-titration	A2	60883	33.33	0.86
prp-titration	A2	62150	33.58	0.86
prp-titration	A2	63400	33.84	0.85
prp-titration	A2	64683	34.1	0.86
prp-titration	A2	65950	34.36	0.85
prp-titration	A2	67217	34.59	0.84
prp-titration	A2	68467	34.9	0.85
prp-titration	A2	69733	35.1	0.84
prp-titration	A2	70983	35.41	0.83
prp-titration	A2	72250	35.61	0.84
prp-titration	A2	73517	35.83	0.83
prp-titration	A2	74783	36.08	0.83
prp-titration	A2	76033	36.42	0.83
prp-titration	A2	77300	36.66	0.83
prp-titration	A2	78567	36.9	0.82
prp-titration	A2	79817	37.13	0.81
prp-titration	A2	81083	37.37	0.81
prp-titration	A2	82350	37.65	0.81
prp-titration	A2	83617	37.93	0.81
prp-titration	A2	84883	38.16	0.8
prp-titration	A2	86150	38.38	0.79
prp-titration	A2	87417	38.66	0.79
prp-titration	A2	88667	38.89	0.79
prp-titration	A2	89933	39.2	0.78
prp-titration	A2	91200	39.42	0.77
prp-titration	A2	92467	39.68	0.77
prp-titration	A2	93733	39.96	0.77
prp-titration	A2	95000	40.17	0.75
prp-titration	A2	96250	40.44	0.75
prp-titration	A2	97517	40.69	0.76
prp-titration	A2	98783	40.95	0.74
prp-titration	A2	100050	41.21	0.73
prp-titration	A2	101317	41.47	0.74
prp-titration	A2	102567	41.72	0.73
prp-titration	A2	103833	41.97	0.72
prp-titration	A2	105117	42.22	0.71
prp-titration	A2	106383	42.52	0.71
prp-titration	A2	107633	42.72	0.71
prp-titration	A2	108883	42.97	0.7
prp-titration	A2	110150	43.26	0.69
prp-titration	A2	111400	43.51	0.68
prp-titration	A2	112667	43.75	0.67
prp-titration	A2	113933	43.99	0.67
prp-titration	A2	115183	44.24	0.66
prp-titration	A2	116467	44.51	0.65
prp-titration	A2	117717	44.79	0.65
prp-titration	A2	118983	45.03	0.67
prp-titration	A2	120250	45.3	0.66
prp-titration	A2	121517	45.54	0.66
prp-titration	A2	122767	45.8	0.66
prp-titration	A2	124033	46.04	0.66
prp-titration	A2	125300	46.31	0.66
prp-titration	A2	126567	46.54	0.66
prp-titration	A2	127817	46.8	0.67
prp-titration	A2	129100	47.04	0.66
prp-titration	A2	130367	47.34	0.67
prp-titration	A2	131617	47.57	0.66
prp-titration	A2	132883	47.8	0.67
prp-titration	A2	134150	48.09	0.67
prp-titration	A2	135417	48.38	0.67
prp-titration	A2	136683	48.61	0.68
prp-titration	A2	137933	48.83	0.67
prp-titration	A2	139200	49.08	0.67
prp-titration	A2	140483	49.37	0.68
prp-titration	A2	141733	49.62	0.67
prp-titration	A2	143000	49.84	0.69
prp-titration	A2	144250	50.1	0.69
prp-titration	A2	145517	50.39	0.69
prp-titration	A2	146783	50.63	0.69
prp-titration	A2	148050	50.89	0.69
prp-titration	A2	149317	51.14	0.69
prp-titration	A2	150583	51.38	0.69
prp-titration	A2	151850	51.67	0.71
prp-titration	A2	153117	51.91	0.71
prp-titration	A2	154367	52.14	0.71
prp-titration	A2	155650	52.43	0.71
prp-titration	A2	156917	52.67	0.72
prp-titration	A2	158183	52.91	0.72
prp-titration	A2	159433	53.18	0.73
prp-titration	A2	160700	53.42	0.73
prp-titration	A2	161967	53.69	0.74
prp-titration	A2	163217	53.94	0.75
prp-titration	A2	164483	54.16	0.75
prp-titration	A2	165750	54.43	0.76
prp-titration	A2	167000	54.71	0.77
prp-titration	A2	168267	54.98	0.77
prp-titration	A2	169534	55.22	0.79
prp-titration	A2	170783	55.44	0.78
prp-titration	A2	172050	55.74	0.8
prp-titration	A2	173300	55.97	0.82
prp-titration	A2	174583	56.2	0.82
prp-titration	A2	175833	56.47	0.83
prp-titration	A2	177100	56.76	0.84
prp-titration	A2	178350	57.02	0.85
prp-titration	A2	179600	57.21	0.86
prp-titration	A2	180867	57.51	0.88
prp-titration	A2	182117	57.77	0.9
prp-titration	A2	183383	57.98	0.89
prp-titration	A2	184650	58.24	0.91
prp-titration	A2	185917	58.53	0.92
prp-titration	A2	187167	58.79	0.94
prp-titration	A2	188433	59.04	0.96
prp-titration	A2	189700	59.26	0.97
prp-titration	A2	190967	59.55	0.99
prp-titration	A2	192233	59.8	1
prp-titration	A2	193483	60.03	1.02
prp-titration	A2	194750	60.29	1.04
prp-titration	A2	196017	60.55	1.06
prp-titration	A2	197283	60.84	1.08
prp-titration	A2	198534	61.07	1.11
prp-titration	A2	199817	61.29	1.13
prp-titration	A2	201083	61.55	1.15
prp-titration	A2	202333	61.86	1.18
prp-titration	A2	203600	62.09	1.2
prp-titration	A2	204867	62.31	1.23
prp-titration	A2	206133	62.62	1.26
prp-titration	A2	207383	62.85	1.29
prp-titration	A2	208650	63.1	1.32
prp-titration	A2	209917	63.37	1.35
prp-titration	A2	211183	63.62	1.38
prp-titration	A2	212450	63.87	1.43
prp-titration	A2	213717	64.1	1.47
prp-titration	A2	214983	64.37	1.51
prp-titration	A2	216233	64.65	1.56
prp-titration	A2	217500	64.87	1.6
prp-titration	A2	218767	65.14	1.65
prp-titration	A2	220033	65.4	1.72
prp-titration	A2	221300	65.64	1.77
prp-titration	A2	222550	65.88	1.83
prp-titration	A2	223817	66.16	1.89
prp-titration	A2	225083	66.39	1.96
prp-titration	A2	226350	66.69	2.03
prp-titration	A2	227617	66.93	2.1
prp-titration	A2	228867	67.17	2.19
prp-titration	A2	230133	67.44	2.26
prp-titration	A2	231417	67.7	2.33
prp-titration	A2	232683	67.94	2.4
prp-titration	A2	233933	68.21	2.47
prp-titration	A2	235200	68.44	2.56
prp-titration	A2	236467	68.71	2.62
prp-titration	A2	237733	68.94	2.69
prp-titration	A2	238983	69.21	2.75
prp-titration	A2	240250	69.48	2.82
prp-titration	A2	241517	69.72	2.87
prp-titration	A2	242783	69.98	2.92
prp-titration	A2	244050	70.27	2.98
prp-titration	A2	245317	70.51	3.02
prp-titration	A2	246567	70.75	3.06
prp-titration	A2	247833	71.01	3.07
prp-titration	A2	249100	71.25	3.12
prp-titration	A2	250383	71.5	3.15
prp-titration	A2	251633	71.77	3.16
prp-titration	A2	252883	72.03	3.18
prp-titration	A2	254150	72.27	3.19
prp-titration	A2	255417	72.53	3.2
prp-titration	A2	256683	72.79	3.21
prp-titration	A2	257950	73.06	3.21
prp-titration	A2	259217	73.29	3.22
prp-titration	A2	260483	73.56	3.21
prp-titration	A2	261733	73.81	3.2
prp-titration	A2	263000	74.05	3.19
prp-titration	A2	264250	74.29	3.18
prp-titration	A2	265517	74.58	3.17
prp-titration	A2	266767	74.81	3.15
prp-titration	A2	268033	75.07	3.15
prp-titration	A2	269300	75.3	3.13
prp-titration	A2	270583	75.6	3.11
prp-titration	A2	271833	75.85	3.09
prp-titration	A2	273100	76.05	3.08
prp-titration	A2	274350	76.36	3.05
prp-titration	A2	275617	76.64	3.01
prp-titration	A2	276883	76.84	3
prp-titration	A2	278133	77.11	2.98
prp-titration	A2	279383	77.34	2.96
prp-titration	A2	280650	77.63	2.94
prp-titration	A2	281900	77.84	2.91
prp-titration	A2	283150	78.13	2.88
prp-titration	A2	284417	78.39	2.86
prp-titration	A2	285683	78.62	2.83
prp-titration	A2	286933	78.89	2.8
prp-titration	A2	288200	79.13	2.77
prp-titration	A2	289467	79.39	2.76
prp-titration	A2	290717	79.65	2.73
prp-titration	A2	291983	79.88	2.69
prp-titration	A2	293250	80.15	2.66
prp-titration	A2	294517	80.42	2.65
prp-titration	A2	295767	80.63	2.62
prp-titration	A2	297050	80.93	2.59
prp-titration	A2	298317	81.19	2.55
prp-titration	A2	299583	81.42	2.54
prp-titration	A2	300850	81.69	2.5
prp-titration	A2	302117	81.96	2.46
prp-titration	A2	303383	82.2	2.44
prp-titration	A2	304650	82.43	2.42
prp-titration	A2	305900	82.7	2.4
prp-titration	A2	307167	82.96	2.37
prp-titration	A2	308433	83.23	2.32
prp-titration	A2	309700	83.44	2.32
prp-titration	A2	310967	83.73	2.27
prp-titration	A2	312233	84.01	2.26
prp-titration	A2	313500	84.21	2.21
prp-titration	A2	314750	84.48	2.18
prp-titration	A2	316017	84.78	2.15
prp-titration	A3	19333	24.96	1.38
prp-titration	A3	20600	25.16	1.37
prp-titration	A3	21850	25.48	1.38
prp-titration	A3	23117	25.75	1.37
prp-titration	A3	24367	26	1.37
prp-titration	A3	25633	26.26	1.36
prp-titration	A3	26883	26.52	1.36
prp-titration	A3	28150	26.76	1.37
prp-titration	A3	29400	26.97	1.37
prp-titration	A3	30667	27.21	1.37
prp-titration	A3	31917	27.45	1.36
prp-titration	A3	33167	27.7	1.38
prp-titration	A3	34433	28	1.38
prp-titration	A3	35683	28.25	1.37
prp-titration	A3	36950	28.54	1.37
prp-titration	A3	38200	28.73	1.37
prp-titration	A3	39450	29.02	1.37
prp-titration	A3	40700	29.25	1.37
prp-titration	A3	41967	29.55	1.37
prp-titration	A3	43217	29.77	1.36
prp-titration	A3	44500	30	1.36
prp-titration	A3	45750	30.29	1.36
prp-titration	A3	47017	30.51	1.36
prp-titration	A3	48283	30.8	1.38
prp-titration	A3	49550	31.07	1.36
prp-titration	A3	50817	31.35	1.36
prp-titration	A3	52083	31.57	1.36
prp-titration	A3	53333	31.79	1.36
prp-titration	A3	54600	32.06	1.36
prp-titration	A3	55850	32.37	1.35
prp-titration	A3	57100	32.59	1.35
prp-titration	A3	58367	32.75	1.35
prp-titration	A3	59617	33.12	1.35
prp-titration	A3	60883	33.33	1.35
prp-titration	A3	62150	33.58	1.35
prp-titration	A3	63400	33.84	1.34
prp-titration	A3	64683	34.1	1.34
prp-titration	A3	65950	34.36	1.33
prp-titration	A3	67217	34.59	1.34
prp-titration	A3	68467	34.9	1.34
prp-titration	A3	69733	35.1	1.33
prp-titration	A3	70983	35.41	1.33
prp-titration	A3	72250	35.61	1.33
prp-titration	A3	73517	35.83	1.32
prp-titration	A3	74783	36.08	1.33
prp-titration	A3	76033	36.42	1.32
prp-titration	A3	77300	36.66	1.32
prp-titration	A3	78567	36.9	1.32
prp-titration	A3	79817	37.13	1.32
prp-titration	A3	81083	37.37	1.31
prp-titration	A3	82350	37.65	1.31
prp-titration	A3	83617	37.93	1.31
prp-titration	A3	84883	38.16	1.31
prp-titration	A3	86150	38.38	1.3
prp-titration	A3	87417	38.66	1.3
prp-titration	A3	88667	38.89	1.3
prp-titration	A3	89933	39.2	1.29
prp-titration	A3	91200	39.42	1.29
prp-titration	A3	92467	39.68	1.27
prp-titration	A3	93733	39.96	1.28
prp-titration	A3	95000	40.17	1.27
prp-titration	A3	96250	40.44	1.26
prp-titration	A3	97517	40.69	1.26
prp-titration	A3	98783	40.95	1.25
prp-titration	A3	100050	41.21	1.25
prp-titration	A3	101317	41.47	1.25
prp-titration	A3	102567	41.72	1.26
prp-titration	A3	103833	41.97	1.24
prp-titration	A3	105117	42.22	1.23
prp-titration	A3	106383	42.52	1.23
prp-titration	A3	107633	42.72	1.23
prp-titration	A3	108883	42.97	1.22
prp-titration	A3	110150	43.26	1.21
prp-titration	A3	111400	43.51	1.21
prp-titration	A3	112667	43.75	1.2
prp-titration	A3	113933	43.99	1.2
prp-titration	A3	115183	44.24	1.19
prp-titration	A3	116467	44.51	1.2
prp-titration	A3	117717	44.79	1.19
prp-titration	A3	118983	45.03	1.19
prp-titration	A3	120250	45.3	1.19
prp-titration	A3	121517	45.54	1.19
prp-titration	A3	122767	45.8	1.19
prp-titration	A3	124033	46.04	1.19
prp-titration	A3	125300	46.31	1.19
prp-titration	A3	126567	46.54	1.2
prp-titration	A3	127817	46.8	1.19
prp-titration	A3	129100	47.04	1.19
prp-titration	A3	130367	47.34	1.19
prp-titration	A3	131617	47.57	1.19
prp-titration	A3	132883	47.8	1.2
prp-titration	A3	134150	48.09	1.2
prp-titration	A3	135417	48.38	1.19
prp-titration	A3	136683	48.61	1.21
prp-titration	A3	137933	48.83	1.21
prp-titration	A3	139200	49.08	1.21
prp-titration	A3	140483	49.37	1.21
prp-titration	A3	141733	49.62	1.22
prp-titration	A3	143000	49.84	1.22
prp-titration	A3	144250	50.1	1.22
prp-titration	A3	145517	50.39	1.22
prp-titration	A3	146783	50.63	1.23
prp-titration	A3	148050	50.89	1.24
prp-titration	A3	149317	51.14	1.24
prp-titration	A3	150583	51.38	1.24
prp-titration	A3	151850	51.67	1.25
prp-titration	A3	153117	51.91	1.26
prp-titration	A3	154367	52.14	1.26
prp-titration	A3	155650	52.43	1.27
prp-titration	A3	156917	52.67	1.28
prp-titration	A3	158183	52.91	1.28
prp-titration	A3	159433	53.18	1.31
prp-titration	A3	160700	53.42	1.31
prp-titration	A3	161967	53.69	1.31
prp-titration	A3	163217	53.94	1.33
prp-titration	A3	164483	54.16	1.35
prp-titration	A3	165750	54.43	1.36
prp-titration	A3	167000	54.71	1.38
prp-titration	A3	168267	54.98	1.39
prp-titration	A3	169534	55.22	1.42
prp-titration	A3	170783	55.44	1.42
prp-titration	A3	172050	55.74	1.46
prp-titration	A3	173300	55.97	1.46
prp-titration	A3	174583	56.2	1.49
prp-titration	A3	175833	56.47	1.51
prp-titration	A3	177100	56.76	1.54
prp-titration	A3	178350	57.02	1.57
prp-titration	A3	179600	57.21	1.6
prp-titration	A3	180867	57.51	1.63
prp-titration	A3	182117	57.77	1.67
prp-titration	A3	183383	57.98	1.7
prp-titration	A3	184650	58.24	1.74
prp-titration	A3	185917	58.53	1.77
prp-titration	A3	187167	58.79	1.82
prp-titration	A3	188433	59.04	1.88
prp-titration	A3	189700	59.26	1.92
prp-titration	A3	190967	59.55	1.97
prp-titration	A3	192233	59.8	2.04
prp-titration	A3	193483	60.03	2.08
prp-titration	A3	194750	60.29	2.14
prp-titration	A3	196017	60.55	2.21
prp-titration	A3	197283	60.84	2.29
prp-titration	A3	198534	61.07	2.37
prp-titration	A3	199817	61.29	2.43
prp-titration	A3	201083	61.55	2.52
prp-titration	A3	202333	61.86	2.63
prp-titration	A3	203600	62.09	2.72
prp-titration	A3	204867	62.31	2.84
prp-titration	A3	206133	62.62	2.95
prp-titration	A3	207383	62.85	3.08
prp-titration	A3	208650	63.1	3.21
prp-titration	A3	209917	63.37	3.37
prp-titration	A3	211183	63.62	3.51
prp-titration	A3	212450	63.87	3.69
prp-titration	A3	213717	64.1	3.87
prp-titration	A3	214983	64.37	4.06
prp-titration	A3	216233	64.65	4.23
prp-titration	A3	217500	64.87	4.42
prp-titration	A3	218767	65.14	4.64
prp-titration	A3	220033	65.4	4.83
prp-titration	A3	221300	65.64	5.06
prp-titration	A3	222550	65.88	5.24
prp-titration	A3	223817	66.16	5.44
prp-titration	A3	225083	66.39	5.62
prp-titration	A3	226350	66.69	5.81
prp-titration	A3	227617	66.93	5.97
prp-titration	A3	228867	67.17	6.16
prp-titration	A3	230133	67.44	6.33
prp-titration	A3	231417	67.7	6.47
prp-titration	A3	232683	67.94	6.59
prp-titration	A3	233933	68.21	6.73
prp-titration	A3	235200	68.44	6.84
prp-titration	A3	236467	68.71	6.94
prp-titration	A3	237733	68.94	7.03
prp-titration	A3	238983	69.21	7.07
prp-titration	A3	240250	69.48	7.14
prp-titration	A3	241517	69.72	7.2
prp-titration	A3	242783	69.98	7.26
prp-titration	A3	244050	70.27	7.27
prp-titration	A3	245317	70.51	7.31
prp-titration	A3	246567	70.75	7.3
prp-titration	A3	247833	71.01	7.32
prp-titration	A3	249100	71.25	7.31
prp-titration	A3	250383	71.5	7.29
prp-titration	A3	251633	71.77	7.28
prp-titration	A3	252883	72.03	7.28
prp-titration	A3	254150	72.27	7.23
prp-titration	A3	255417	72.53	7.21
prp-titration	A3	256683	72.79	7.18
prp-titration	A3	257950	73.06	7.14
prp-titration	A3	259217	73.29	7.11
prp-titration	A3	260483	73.56	7.02
prp-titration	A3	261733	73.81	7.02
prp-titration	A3	263000	74.05	6.95
prp-titration	A3	264250	74.29	6.9
prp-titration	A3	265517	74.58	6.83
prp-titration	A3	266767	74.81	6.78
prp-titration	A3	268033	75.07	6.72
prp-titration	A3	269300	75.3	6.65
prp-titration	A3	270583	75.6	6.61
prp-titration	A3	271833	75.85	6.55
prp-titration	A3	273100	76.05	6.51
prp-titration	A3	274350	76.36	6.41
prp-titration	A3	275617	76.64	6.37
prp-titration	A3	276883	76.84	6.28
prp-titration	A3	278133	77.11	6.21
prp-titration	A3	279383	77.34	6.15
prp-titration	A3	280650	77.63	6.09
prp-titration	A3	281900	77.84	6.03
prp-titration	A3	283150	78.13	5.96
prp-titration	A3	284417	78.39	5.89
prp-titration	A3	285683	78.62	5.81
prp-titration	A3	286933	78.89	5.77
prp-titration	A3	288200	79.13	5.69
prp-titration	A3	289467	79.39	5.65
prp-titration	A3	290717	79.65	5.56
prp-titration	A3	291983	79.88	5.48
prp-titration	A3	293250	80.15	5.42
prp-titration	A3	294517	80.42	5.35
prp-titration	A3	295767	80.63	5.29
prp-titration	A3	297050	80.93	5.23
prp-titration	A3	298317	81.19	5.15
prp-titration	A3	299583	81.42	5.08
prp-titration	A3	300850	81.69	5.01
prp-titration	A3	302117	81.96	4.94
prp-titration	A3	303383	82.2	4.88
prp-titration	A3	304650	82.43	4.83
