smiles	pubchem_cid
O=C(CC3C(=O)N(C1CCCC1)C4=Nc2ccccc2N34)Nc5cccc(F)c5	25250530
CC3OC2(C=Cc1cccc(O)c1CO2)C(C)OC35C=Cc4cccc(O)c4CO5	56600681
CCOc1ccc(cc1)NC(=O)N2CCC(CC2)C4C=C3C(=O)NCCCN3N=4	53165357
CNS(=O)(=O)c1cc(ccc1C)c3ccc(Nc2ccc(cc2)OC)nn3	25249858
COc1ccccc1OC(C)C(=O)NC2=NC(=NS2)c3ccccc3	17012236
Cc1nc(cc(n1)N(C)C)Nc2ccc(cc2)NC(=O)c3ccccc3F	50748551
N#Cc1cccc(c1)NC(=O)CSC4=NN=C5c2ccccc2N=C(C3=CC=CO3)N45	50755182
COc1cccc(c1)C2=CC(=NN2)C(=O)Nc3ccccc3	19509694
COc1cccc(c1)C2=CC(=NN2)C(=O)Nc3cccc(C)c3	46856847
CC1CCCN(C1)c2nc(C)cc(n2)OCC(=O)Nc3cccc(C#N)c3	49674958
CCc1ccc(cc1)NC(=O)N3CC(C(=O)NC2CCCC2)C4(C3)CCOCC4	91924813
OCc1cccc(c1)NC(=O)c3ccc(COc2ccc(Cl)cc2)cc3	9300139
CC(=O)c1cccc(c1)NC(=O)C2SC(=NC=2C)c3ccccc3	9124008
CN3C(=O)c1cc(ccc1Oc2cccnc23)S(=O)(=O)Nc4cccc(F)c4	53173583
CCOc1ccc(cc1)NC(=O)c2ccccc2Cc3ccccc3	7947598
CC3=CN2N=NC(C(=O)Nc1ccc(cc1)OC(F)(F)F)=C2C(=O)N3	71791856
O=S(=O)(C1=CNC(=C1)C2=NN=C(O2)c3ccccc3)N4CCOCC4	NA
O=C(Nc1ccc(F)c(F)c1)C2C=NNC=2S(=O)(=O)Nc3ccccc3	53115437
Cc1cc(ccc1F)NC(=O)C2C=NNC=2S(=O)(=O)Nc3ccccc3	53115447
Cc1ccc(cc1)NS(=O)(=O)C2NN=CC=2C(=O)Nc3cccc(F)c3	53115469
Cc1ccc(cc1F)NC(=O)CCc3ccc2NC=Nc2c3	53131381
COc1cc(cc(c1)OC)NC(=O)c2ccc(nc2)c3cncnc3	53149803
O=C(Nc1cnc(nc1)c2ccccc2)c3ccccc3C(F)(F)F	45860442
Cc1ccccc1NC(=O)C4C(=O)NC2=C(C=NN2Cc3ccccc3)C=4O	NA
CCOC2=CC=CC3=NN=C(NC(=O)Nc1ccc(F)cc1)N23	53204570
N#C/C(=C\c1ccc(O)cc1)/C(/C#N)=C/c2ccc(O)cc2	6508939
Oc1ccc(cc1)C(=O)CCCCc2ccccc2	71594483
