file_number	wellnumber	col_number	row_number	blank	smiles	pubchem_cid	error_code	tm_inf_	apo_tm_inf__median	apo_tm_inf__mad
6	108	12	5	FALSE	CO[C@@H]2[C@H](O)c1cc4c(c(O)c1C(=O)N2C)c7c3c(OCO[C@H]3[C@H]4OC)c6Oc5c(ccc(Cl)c5OC)C(=O)c6c7O	5492139	0	68.0383565	68.16918549	0.097207372
10	108	12	5	FALSE	CO[C@@H]2[C@H](O)c1cc4c(c(O)c1C(=O)N2C)c7c3c(OCO[C@H]3[C@H]4OC)c6Oc5c(ccc(Cl)c5OC)C(=O)c6c7O	5492139	0	68.15865564	68.2113126	0.093646869
3	114	18	5	FALSE	CCc2c(cc1C(O)CCC(=O)c1c2O)OC	9813447	0	68.11130345	68.18583865	0.051594247
7	114	18	5	FALSE	CCc2c(cc1C(O)CCC(=O)c1c2O)OC	9813447	0	68.25171949	68.1895422	0.0319947
11	114	18	5	FALSE	CCc2c(cc1C(O)CCC(=O)c1c2O)OC	9813447	0	68.21323429	68.29213889	0.091890082
2	250	10	11	FALSE	CCC/C=C/C2CC(=O)c1c(CC(O)=O)cc(OC)c(O)c1O2	NA	0	68.11037166	68.20813253	0.069540518
6	250	10	11	FALSE	CCC/C=C/C2CC(=O)c1c(CC(O)=O)cc(OC)c(O)c1O2	NA	0	68.00697581	68.16918549	0.097207372
10	250	10	11	FALSE	CCC/C=C/C2CC(=O)c1c(CC(O)=O)cc(OC)c(O)c1O2	NA	0	68.09648149	68.2113126	0.093646869
2	163	19	7	FALSE	CC(=O)O[C@H]5CC[C@@]1(C)[C@@H](CC[C@]4(C)[C@@H]1C(=O)C=C3[C@@H]2C[C@](C)(CC[C@]2(C)CC[C@]34C)C(O)=O)C5(C)C	94320	0	67.50290851	68.20813253	0.069540518
6	163	19	7	FALSE	CC(=O)O[C@H]5CC[C@@]1(C)[C@@H](CC[C@]4(C)[C@@H]1C(=O)C=C3[C@@H]2C[C@](C)(CC[C@]2(C)CC[C@]34C)C(O)=O)C5(C)C	94320	0	67.28166224	68.16918549	0.097207372
10	163	19	7	FALSE	CC(=O)O[C@H]5CC[C@@]1(C)[C@@H](CC[C@]4(C)[C@@H]1C(=O)C=C3[C@@H]2C[C@](C)(CC[C@]2(C)CC[C@]34C)C(O)=O)C5(C)C	94320	0	67.8013188	68.2113126	0.093646869
3	174	6	8	FALSE	CCC(CC(C)C(O)=O)C(=O)CC/C1/COC(=O)CC(CC(=O)OC(CCCC\C=C\C(C)CCC(C)OC(=O)CC(CC(O)=O)C(O)=O)CCC(C)C(O)C(C)\C=C(/C)\CC(C)\C=1)C(O)=O	10102380	0	66.14244349	68.18583865	0.051594247
7	174	6	8	FALSE	CCC(CC(C)C(O)=O)C(=O)CC/C1/COC(=O)CC(CC(=O)OC(CCCC\C=C\C(C)CCC(C)OC(=O)CC(CC(O)=O)C(O)=O)CCC(C)C(O)C(C)\C=C(/C)\CC(C)\C=1)C(O)=O	10102380	0	66.10651087	68.1895422	0.0319947
11	174	6	8	FALSE	CCC(CC(C)C(O)=O)C(=O)CC/C1/COC(=O)CC(CC(=O)OC(CCCC\C=C\C(C)CCC(C)OC(=O)CC(CC(O)=O)C(O)=O)CCC(C)C(O)C(C)\C=C(/C)\CC(C)\C=1)C(O)=O	10102380	0	66.07432499	68.29213889	0.091890082
2	39	15	2	FALSE	Cc1c(O)cc(O)c2C(=O)OC(=C)C(C)(O)c12	75966406	0	68.02276311	68.20813253	0.069540518
6	39	15	2	FALSE	Cc1c(O)cc(O)c2C(=O)OC(=C)C(C)(O)c12	75966406	0	68.07556892	68.16918549	0.097207372
10	39	15	2	FALSE	Cc1c(O)cc(O)c2C(=O)OC(=C)C(C)(O)c12	75966406	0	67.91557405	68.2113126	0.093646869
3	70	22	3	FALSE	N#C/C(=C\c1ccc(O)cc1)/C(/C#N)=C/c2ccc(O)cc2	6508939	0	68.97064602	68.18583865	0.051594247
7	70	22	3	FALSE	N#C/C(=C\c1ccc(O)cc1)/C(/C#N)=C/c2ccc(O)cc2	6508939	0	68.93793712	68.1895422	0.0319947
