Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1	
UV		Cond		Conc B		Run Log		Fraction		UV_CUT_TEMP@100,BASEM (1)	
min	mAU	min	mS/cm	min	%	min	Logbook	min	Fraction	min	mAU
0.001667	0	0.001667	12.162318	0.006667	0	0	"Method Settings"	0.091667	"1.A.1"	0.045	-0.063747
0.003333	0	0.005	12.162533	0.023333	0	0.051667	"Elution"	8.55	"1.A.2"	0.046667	-0.063183
0.005	0	0.008333	12.162794	0.04	0			13.321667	"1.A.3"	0.048333	-0.062618
0.006667	0	0.011667	12.162814	0.056667	0			19.895	"1.B.1"	0.05	-0.062054
0.008333	0	0.015	12.16293	0.073333	0			23.448334	"Waste(Frac)"	0.051667	-0.061489
0.01	0	0.018333	12.16302	0.09	0					0.053333	-0.060925
0.011667	0	0.021667	12.162991	0.106667	0					0.055	-0.06036
0.013333	0	0.025	12.163114	0.123333	0.002224					0.056667	-0.059796
0.015	0	0.028333	12.163185	0.14	0.007039					0.058333	-0.059231
0.016667	0	0.031667	12.163288	0.156667	0.01445					0.06	-0.058667
0.018333	0	0.035	12.163208	0.173333	0.024399					0.061667	-0.058102
0.02	0	0.038333	12.163275	0.19	0.036937					0.063333	-0.057521
0.021667	-0.001565	0.041667	12.16319	0.206667	0.052048					0.065	-0.056939
0.023333	-0.003189	0.045	12.163342	0.223333	0.069722					0.066667	-0.056357
0.025	-0.005662	0.048333	12.163324	0.24	0.089978					0.068333	-0.055776
0.026667	-0.007749	0.051667	12.163542	0.256667	0.112782					0.07	-0.055194
0.028333	-0.00979	0.055	12.163773	0.273333	0.138154					0.071667	-0.054612
0.03	-0.011936	0.058333	12.163783	0.29	0.166088					0.073333	-0.054031
0.031667	-0.014111	0.061667	12.164043	0.306667	0.196618					0.075	-0.053449
0.033333	-0.016063	0.065	12.164279	0.323333	0.229715					0.076667	-0.052867
0.035	-0.016779	0.068333	12.164619	0.34	0.265363					0.078333	-0.052286
0.036667	-0.018328	0.071667	12.164878	0.356667	0.302371					0.08	-0.051672
0.038333	-0.019327	0.075	12.16502	0.373333	0.339384					0.081667	-0.051059
0.04	-0.020176	0.078333	12.165234	0.39	0.376405					0.083333	-0.050446
0.041667	-0.020787	0.081667	12.165358	0.406667	0.413409					0.085	-0.049833
0.043333	-0.024393	0.085	12.165625	0.423333	0.450424					0.086667	-0.04922
