Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1	
UV		Cond		Conc B		Run Log		Fraction		UV_CUT_TEMP@100,BASEM (1)	
min	mAU	min	mS/cm	min	%	min	Logbook	min	Fraction	min	mAU
0.001667	0	0.001667	12.458011	0.01	0	0	"Method Settings"	0.091667	"1.B.2"	0.046667	0.014156
0.003333	0	0.005	12.457968	0.026667	0	0.051667	"Elution"	0.398333	"1.B.3"	0.048333	0.014492
0.005	0	0.008333	12.458073	0.043333	0			0.401667	"Waste(Frac)"	0.05	0.014829
0.006667	0	0.011667	12.458307	0.06	0			8.865	"1.A.2"	0.051667	0.015165
0.008333	0	0.015	12.458507	0.076667	0			14.593333	"1.A.3"	0.053333	0.015501
0.01	0	0.018333	12.458698	0.093333	0			20.514999	"1.B.1"	0.055	0.015837
0.011667	0	0.021667	12.458945	0.11	0.000224			24.463333	"Waste(Frac)"	0.056667	0.016173
0.013333	0	0.025	12.459264	0.126667	0.002981					0.058333	0.01651
0.015	0	0.028333	12.459343	0.143333	0.008318					0.06	0.016846
0.016667	0	0.031667	12.460045	0.16	0.01624					0.061667	0.017182
0.018333	0	0.035	12.462433	0.176667	0.026709					0.063333	0.017518
0.02	0	0.038333	12.464008	0.193333	0.039756					0.065	0.017878
0.021667	0.001207	0.041667	12.465082	0.21	0.055376					0.066667	0.018237
0.023333	0.003397	0.045	12.465892	0.226667	0.073541					0.068333	0.018596
0.025	0.003964	0.048333	12.466391	0.243333	0.09432					0.07	0.018956
0.026667	0.006184	0.051667	12.466966	0.26	0.117636					0.071667	0.019315
0.028333	0.00605	0.055	12.467657	0.276667	0.143535					0.073333	0.019674
0.03	0.005648	0.058333	12.468218	0.293333	0.171984					0.075	0.020034
0.031667	0.006944	0.061667	12.468848	0.31	0.203027					0.076667	0.020393
0.033333	0.007674	0.065	12.469506	0.326667	0.236644					0.078333	0.020753
0.035	0.009015	0.068333	12.470079	0.343333	0.272781					0.08	0.021112
0.036667	0.00973	0.071667	12.471108	0.36	0.309765					0.081667	0.021494
0.038333	0.009894	0.075	12.472186	0.376667	0.346783					0.083333	0.021876
0.04	0.011533	0.078333	12.47315	0.393333	0.383797					0.085	0.022258
0.041667	0.01289	0.081667	12.474203	0.41	0.420808					0.086667	0.02264
0.043333	0.014991	0.085	12.47527	0.426667	0.45782					0.088333	0.023023
