Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1	
UV		Cond		Conc B		Run Log		Fraction		UV_CUT_TEMP@100,BASEM (1)	
min	mAU	min	mS/cm	min	%	min	Logbook	min	Fraction	min	mAU
0.001667	0	0.001667	12.603828	0.006667	0	0	"Method Settings"	0.091667	"1.A.1"	0.045	0.003487
0.003333	0	0.005	12.603848	0.023333	0	0.051667	"Elution"	8.55	"1.A.2"	0.046667	0.003919
0.005	0	0.008333	12.603916	0.04	0			14.156667	"1.A.3"	0.048333	0.004352
0.006667	0	0.011667	12.604094	0.056667	0			20.123333	"1.B.1"	0.05	0.004784
0.008333	0	0.015	12.604176	0.073333	0			23.286667	"Waste(Frac)"	0.051667	0.005217
0.01	0	0.018333	12.604327	0.09	0					0.053333	0.005649
0.011667	0	0.021667	12.604407	0.106667	0					0.055	0.006082
0.013333	0	0.025	12.604595	0.123333	0.00224					0.056667	0.006514
0.015	0	0.028333	12.604702	0.14	0.00706					0.058333	0.006947
0.016667	0	0.031667	12.605358	0.156667	0.014467					0.06	0.007379
0.018333	0	0.035	12.60785	0.173333	0.024417					0.061667	0.007812
0.02	0	0.038333	12.609203	0.19	0.036957					0.063333	0.008257
0.021667	0.000522	0.041667	12.610163	0.206667	0.052052					0.065	0.008703
0.023333	0.001892	0.045	12.611221	0.223333	0.069724					0.066667	0.009149
0.025	0.000119	0.048333	12.612561	0.24	0.089957					0.068333	0.009594
0.026667	0.000998	0.051667	12.613959	0.256667	0.112763					0.07	0.01004
0.028333	0.003204	0.055	12.61544	0.273333	0.13816					0.071667	0.010486
0.03	0.003964	0.058333	12.616829	0.29	0.166098					0.073333	0.010931
0.031667	0.004858	0.061667	12.618175	0.306667	0.19663					0.075	0.011377
0.033333	0.005648	0.065	12.619342	0.323333	0.229724					0.076667	0.011823
0.035	0.004947	0.068333	12.620445	0.34	0.265367					0.078333	0.012268
0.036667	0.005499	0.071667	12.621424	0.356667	0.302381					0.08	0.012738
0.038333	0.005722	0.075	12.622711	0.373333	0.339394					0.081667	0.013208
0.04	0.007093	0.078333	12.623903	0.39	0.376398					0.083333	0.012994
0.041667	0.006929	0.081667	12.625183	0.406667	0.413416					0.085	0.010103
0.043333	0.0083	0.085	12.626595	0.423333	0.450433					0.086667	0.008792
0.045	0.007764	0.088333	12.627644	0.44	0.487435					0.088333	0.006661
