Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1	
UV		Cond		Conc B		Run Log		Fraction		UV_CUT_TEMP@100,BASEM (1)	
min	mAU	min	mS/cm	min	%	min	Logbook	min	Fraction	min	mAU
0.001667	0	0.001667	12.375031	0.006667	0	0	"Method Settings"	0.091667	"1.A.1"	0.043333	0.007004
0.003333	0	0.005	12.375103	0.023333	0	0.051667	"Elution"	8.55	"1.A.2"	0.045	0.007316
0.005	0	0.008333	12.375221	0.04	0			14.386666	"1.A.3"	0.046667	0.007628
0.006667	0	0.011667	12.375484	0.056667	0			19.426666	"1.B.1"	0.048333	0.00794
0.008333	0	0.015	12.375693	0.073333	0			22.295	"Waste(Frac)"	0.05	0.008252
0.01	0	0.018333	12.375813	0.09	0					0.051667	0.008565
0.011667	0	0.021667	12.375975	0.106667	0					0.053333	0.008877
0.013333	0	0.025	12.37604	0.123333	0.002224					0.055	0.009189
0.015	0	0.028333	12.376088	0.14	0.007041					0.056667	0.009501
0.016667	0	0.031667	12.376902	0.156667	0.014423					0.058333	0.009813
0.018333	0	0.035	12.379177	0.173333	0.024396					0.06	0.010126
0.02	0	0.038333	12.380179	0.19	0.036913					0.061667	0.010436
0.021667	-0.000015	0.041667	12.3814	0.206667	0.052028					0.063333	0.010747
0.023333	0.002608	0.045	12.382718	0.223333	0.069697					0.065	0.011057
0.025	0.005335	0.048333	12.384121	0.24	0.089949					0.066667	0.011368
0.026667	0.006348	0.051667	12.385796	0.256667	0.112752					0.068333	0.011678
0.028333	0.00608	0.055	12.387579	0.273333	0.13815					0.07	0.011988
0.03	0.00748	0.058333	12.389335	0.29	0.1661					0.071667	0.012299
0.031667	0.008494	0.061667	12.390956	0.306667	0.196596					0.073333	0.012279
0.033333	0.008509	0.065	12.392473	0.323333	0.229696					0.075	0.012353
0.035	0.009924	0.068333	12.39379	0.34	0.265359					0.076667	0.010952
0.036667	0.011981	0.071667	12.394828	0.356667	0.30237					0.078333	0.009537
0.038333	0.009865	0.075	12.396111	0.373333	0.339376					0.08	0.013337
0.04	0.013396	0.078333	12.397215	0.39	0.376373					0.081667	0.010923
0.041667	0.014603	0.081667	12.398378	0.406667	0.413389					0.083333	0.010908
0.043333	0.01587	0.085	12.399652	0.423333	0.450396					0.085	0.011787
0.045	0.015169	0.088333	12.400178	0.44	0.487415					0.086667	0.013143
