Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1	
UV		Cond		Conc B		Run Log		Fraction		UV_CUT_TEMP@100,BASEM (1)	
min	mAU	min	mS/cm	min	%	min	Logbook	min	Fraction	min	mAU
0.001667	0	0.001667	13.454737	0.01	0	0	"Method Settings"	0.091667	"1.A.1"	0.045	-0.015646
0.003333	0	0.005	13.454925	0.026667	0	0.051667	"Elution"	8.55	"1.A.2"	0.046667	-0.015412
0.005	0	0.008333	13.455066	0.043333	0			14.308333	"1.A.3"	0.048333	-0.015177
0.006667	0	0.011667	13.455132	0.06	0			19.991667	"1.B.1"	0.05	-0.014942
0.008333	0	0.015	13.455206	0.076667	0			23.715	"Waste(Frac)"	0.051667	-0.014708
0.01	0	0.018333	13.455339	0.093333	0					0.053333	-0.014473
0.011667	0	0.021667	13.455491	0.11	0.000226					0.055	-0.014238
0.013333	0	0.025	13.455659	0.126667	0.002984					0.056667	-0.014003
0.015	0	0.028333	13.455624	0.143333	0.008318					0.058333	-0.013769
0.016667	0	0.031667	13.456654	0.16	0.016225					0.06	-0.013534
0.018333	0	0.035	13.45993	0.176667	0.026716					0.061667	-0.013299
0.02	0	0.038333	13.46272	0.193333	0.039765					0.063333	-0.013058
0.021667	-0.000417	0.041667	13.465386	0.21	0.055355					0.065	-0.012816
0.023333	0.000283	0.045	13.468389	0.226667	0.073548					0.066667	-0.012574
0.025	0.002384	0.048333	13.471813	0.243333	0.094295					0.068333	-0.012332
0.026667	0.003204	0.051667	13.475136	0.26	0.117642					0.07	-0.01209
0.028333	0.003248	0.055	13.478205	0.276667	0.143542					0.071667	-0.011848
0.03	0.004008	0.058333	13.480891	0.293333	0.171994					0.073333	-0.011607
0.031667	0.003532	0.061667	13.4831	0.31	0.203037					0.075	-0.011365
0.033333	0.003085	0.065	13.485084	0.326667	0.236637					0.076667	-0.011123
0.035	0.002727	0.068333	13.486663	0.343333	0.272766					0.078333	-0.010881
0.036667	0.001624	0.071667	13.488063	0.36	0.309776					0.08	-0.010655
0.038333	0.000894	0.075	13.48945	0.376667	0.346787					0.081667	-0.010429
0.04	0.000596	0.078333	13.491213	0.393333	0.383799					0.083333	-0.010203
0.041667	0.0007	0.081667	13.493122	0.41	0.420816					0.085	-0.009977
0.043333	0.001848	0.085	13.495026	0.426667	0.457829					0.086667	-0.009751
