disp	n	hit_pools	stds	trosys	validated
Broad 19F library	785	14	14	5	0
Broad 1st gen STD library	1116	16	15	4	0
Broad 2nd gen STD library	1823	43	55	34	1
Schreiber chiral collection	381	1	5	0	0
Chembridge high-solubility set	2525	31	149	37	0
