Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1	
UV		Cond		Conc B		Run Log		Fraction		UV_CUT_TEMP@100,BASEM	
ml	mAU	ml	mS/cm	ml	%	ml	Logbook	ml	Fraction	ml	mAU
0	0	0	13.740319	0	0	0	"Method Settings"	0.010931	"1.B.2"	0	-0.050578
0.009825	-0.050578	0.019651	13.7609	0.098287	0.029908	0.000088	"Elution"	0.094486	"1.B.3"	0.009825	-0.050578
0.019651	-0.052812	0.039301	13.760396	0.196574	0.059704			0.095458	"Waste(Frac)"	0.019651	-0.052812
0.029476	-0.054405	0.058952	13.754668	0.294861	0.092746			50.090752	"1.A.2"	0.029476	-0.054405
0.039301	0.291393	0.078602	13.743576	0.393148	0.126568			80.875359	"1.A.3"	0.039301	-0.047305
0.049126	5.102069	0.098253	13.25526	0.491435	0.160785			117.089943	"1.B.1"	0.049126	-0.046486
0.058952	13.852718	0.117903	13.245521	0.589722	0.195268			137.651764	"Waste(Frac)"	0.058952	-0.045668
0.068777	24.68116	0.137554	13.22894	0.688009	0.229911					0.068777	-0.04485
0.078602	36.415306	0.157204	13.202295	0.786296	0.266016					0.078602	-0.044032
0.088427	66.178993	0.176855	13.161552	0.884583	0.318198					0.088427	-0.043213
0.098253	123.838226	0.196505	13.106772	0.98287	0.349846					0.098253	-0.042395
0.108078	124.265717	0.216156	13.069207	1.081157	0.383164					0.108078	-0.041574
0.117903	124.6045	0.235806	13.038074	1.179444	0.417151					0.117903	-0.040754
0.127728	125.008347	0.255457	13.001881	1.277731	0.451422					0.127728	-0.039933
0.137554	125.496117	0.275107	12.967065	1.376018	0.485987					0.137554	-0.039113
0.147379	126.017281	0.294758	12.941931	1.474305	0.520654					0.147379	-0.038292
0.157204	126.493935	0.314408	12.926653	1.572592	0.555516					0.157204	-0.037472
0.167029	126.845413	0.334059	12.918087	1.670879	0.591468					0.167029	-0.036651
0.176855	127.093025	0.353709	12.916836	1.769166	0.627858					0.176855	-0.03583
0.18668	127.299217	0.37336	12.923759	1.867453	0.664245					0.18668	-0.03501
0.196505	127.485359	0.39301	12.93429	1.96574	0.700649					0.196505	-0.034189
0.20633	127.795876	0.412661	12.942234	2.064027	0.737048					0.20633	-0.033351
0.216156	127.958221	0.432311	12.944592	2.162314	0.773459					0.216156	-0.032514
0.225981	128.068817	0.451962	12.940447	2.260601	0.809858					0.225981	-0.031676
0.235806	128.219757	0.471612	12.932662	2.358888	0.846258					0.235806	-0.030838
0.245631	128.366119	0.491263	12.922696	2.457175	0.882651					0.245631	-0.03
0.255457	128.638428	0.510913	12.910903	2.555462	0.91908					0.255457	-0.029163
0.265282	128.986816	0.530564	12.897909	2.653749	0.95549					0.265282	-0.028325
