library	broad_id	other_id	smiles	hit	std_attempted	trosy_attempted	trosy_validated	pool	color	parsed	hba	hbd	logp	mw	rotb	tpsa
f19	BRD-K54792783-308-01-2		CN1CCN(CCS(=O)(=O)OCC(F)(F)F)CC1	0	0	0	0	NA	#66A61E	TRUE	5	0	0.9	290.1	6	58.2
f19	BRD-K77525676-001-07-7		OC(=O)c1ccc(Cn2cc(ccc2=O)C(F)(F)F)cc1	0	0	0	0	NA	#66A61E	TRUE	2	1	3.4	297.1	4	59.3
f19	BRD-A55393334-001-08-0		Fc1ccc(cc1)C1NCCc2[nH]cnc12	0	0	0	0	NA	#66A61E	TRUE	2	2	1.4	217.1	1	40.7
f19	BRD-K40386036-001-02-4		Nc1cc(O)nc(n1)C(F)(F)F	0	0	0	0	NA	#66A61E	TRUE	3	2	0.7	179	1	72
f19	BRD-A58318730-001-01-9		OC(=O)C1C=NN(C1=O)c1ccc(F)cc1	0	0	0	0	NA	#66A61E	TRUE	5	1	1.1	222	2	70
f19	BRD-K35510942-001-02-9		Cc1cc(nn1CC(N)=O)C(F)(F)F	0	0	0	0	NA	#66A61E	TRUE	3	1	1.4	207.1	3	60.9
f19	BRD-A56566423-001-08-2		OC(=O)C1CN(C(=O)C1)c1ccc(F)cc1	0	0	0	0	NA	#66A61E	TRUE	4	1	1.2	223.1	2	57.6
f19	BRD-K30104240-001-01-7		CC(=O)Nc1nnc(o1)-c1ccc(F)cc1	0	0	0	0	NA	#66A61E	TRUE	4	1	1.2	221.1	3	68
f19	BRD-K31528188-001-01-0		Fc1cccc(CSc2nc(=O)cn[nH]2)c1	0	0	0	0	NA	#66A61E	TRUE	2	1	2.4	237	3	83.9
f19	BRD-K83880843-003-01-5		Cc1[nH]c2ccc(F)cc2c1CCN	0	0	0	0	NA	#66A61E	TRUE	1	2	2.4	192.1	2	41.8
f19	BRD-K78452586-001-01-5		OC(=O)c1cccn(Cc2ccccc2F)c1=O	0	0	0	0	NA	#66A61E	TRUE	2	1	2.7	247.1	3	59.3
f19	BRD-K63843082-001-01-1		OC(=O)Cc1cc(on1)-c1ccc(F)cc1	0	0	0	0	NA	#66A61E	TRUE	2	1	2.4	221	3	63.3
f19	BRD-A17238567-001-01-7		CN(C)C(=O)NC1CN(C(=O)C1)c1cccc(F)c1	0	0	0	0	NA	#66A61E	TRUE	5	1	1.1	265.1	4	52.7
f19	BRD-K29431843-001-01-8		Nc1cc(Cl)nc(n1)C(F)(F)F	0	0	0	0	NA	#66A61E	TRUE	3	1	1.3	197	1	51.8
f19	BRD-A43645610-001-01-8		OC(=O)C1C=NN(Cc2ccc(F)cc2)C1=O	1	1	0	0	3	#66A61E	TRUE	5	1	1	236.1	3	70
f19	BRD-K91368971-001-02-7		OC(=O)CCNS(=O)(=O)c1cccc(c1)C(F)(F)F	0	0	0	0	NA	#66A61E	TRUE	5	2	1.6	297	6	91.8
f19	BRD-K40401795-001-01-4		Fc1ccc(cc1)N1C(=O)CC(=O)NC1=O	0	0	0	0	NA	#66A61E	TRUE	5	1	1.2	222	1	66.5
f19	BRD-K01941915-001-01-1		OC(=O)c1ccc(=O)n(Cc2ccc(F)cc2)n1	0	0	0	0	NA	#66A61E	TRUE	3	1	2.5	248.1	3	72.2
f19	BRD-K18086219-001-01-9		OC(=O)Cc1cc(on1)-c1ccc(F)cc1F	0	0	0	0	NA	#66A61E	TRUE	2	1	2.6	239	3	63.3
f19	BRD-K84505941-001-02-0		OC(=O)CC1(OCCO1)C(F)(F)F	0	0	0	0	NA	#66A61E	TRUE	4	1	0.6	200	3	55.8
f19	BRD-K70496885-001-01-8		FC(F)(F)c1[nH]nc2ccncc12	0	0	0	0	NA	#66A61E	TRUE	2	1	1.7	187	1	41.6
f19	BRD-K02614816-001-01-3		COC(=O)CCSCC(=O)Nc1ccc(F)cc1	0	0	0	0	NA	#66A61E	TRUE	4	1	2	271.1	8	80.7
